,time
0,424.0
1,1266.0
2,912.0
3,279.0
4,286.0
5,1260.0
6,705.0
7,529.0
8,401.0
9,256.0
10,827.0
11,305.0
12,939.0
13,541.0
14,692.0
15,1434.0
16,930.0
17,336.0
18,491.0
19,568.0
20,1186.0
21,331.0
22,564.0
23,305.0
24,718.0
25,1161.0
26,1557.0
27,330.0
28,873.0
29,1062.0
30,197.0
31,959.0
32,381.0
33,959.0
34,992.0
35,805.0
36,560.0
37,1116.0
38,666.0
39,1404.0
40,216.0
41,353.0
42,989.0
43,266.0
44,469.0
45,1052.0
46,206.0
47,601.0
48,642.0
49,644.0
50,586.0
51,1294.0
52,249.0
53,409.0
54,695.0
55,636.0
56,802.0
57,276.0
58,399.0
59,731.0
60,990.0
61,981.0
62,1286.0
63,524.0
64,1489.0
65,721.0
66,1385.0
67,500.0
68,634.0
69,474.0
70,436.0
71,1288.0
72,503.0
73,823.0
74,612.0
75,238.0
76,845.0
77,554.0
78,781.0
79,185.0
80,625.0
81,838.0
82,872.0
83,509.0
84,1053.0
85,339.0
86,659.0
87,423.0
88,692.0
89,1082.0
90,607.0
91,562.0
92,603.0
93,561.0
94,560.0
95,159.0
96,766.0
97,1803.0
98,1331.0
99,437.0
