,time,Number of living cell
0,0,47
1,1,73
2,2,98
3,3,123
4,4,150
5,5,170
6,6,200
7,7,221
8,8,243
9,9,294
10,10,296
11,11,349
12,12,394
13,13,432
14,14,480
15,15,535
16,16,596
17,17,640
18,18,692
19,19,813
20,20,829
21,21,939
22,22,915
23,23,1012
24,24,1135
25,25,1146
26,26,1231
27,27,1353
28,28,1362
29,29,1455
30,30,1570
31,31,1645
32,32,1607
33,33,1731
34,34,1873
35,35,1922
36,36,2035
37,37,2054
38,38,2131
39,39,2146
40,40,2224
41,41,2197
42,42,2304
43,43,2234
44,44,2364
45,45,2401
46,46,2472
47,47,2542
48,48,2617
49,49,2498
50,50,2600
51,51,2602
52,52,2645
53,53,2675
54,54,2704
55,55,2530
56,56,2711
57,57,2588
58,58,2677
59,59,2688
60,60,2678
61,61,2683
62,62,2689
63,63,2710
64,64,2688
65,65,2770
66,66,2675
67,67,2728
68,68,2742
69,69,2677
70,70,2743
71,71,2649
72,72,2798
73,73,2715
74,74,2687
75,75,2733
76,76,2698
77,77,2752
78,78,2666
79,79,2728
80,80,2689
81,81,2748
82,82,2685
83,83,2752
84,84,2792
85,85,2667
86,86,2703
87,87,2761
88,88,2728
89,89,2701
90,90,2596
91,91,2764
92,92,2680
93,93,2727
94,94,2699
95,95,2749
96,96,2607
97,97,2635
98,98,2662
99,99,2791
100,100,2640
101,101,2711
102,102,2778
103,103,2578
104,104,2716
105,105,2738
106,106,2677
107,107,2815
108,108,2715
109,109,2686
110,110,2782
111,111,2646
112,112,2631
113,113,2781
114,114,2808
115,115,2653
116,116,2627
117,117,2632
118,118,2797
119,119,2653
120,120,2763
121,121,2828
122,122,2646
123,123,2637
124,124,2621
125,125,2648
126,126,2698
127,127,2740
128,128,2693
129,129,2696
130,130,2670
131,131,2597
132,132,2764
133,133,2656
134,134,2667
135,135,2624
136,136,2725
137,137,2753
138,138,2696
139,139,2679
140,140,2740
141,141,2615
142,142,2723
143,143,2642
144,144,2751
145,145,2598
146,146,2726
147,147,2725
148,148,2820
149,149,2690
150,150,2705
151,151,2727
152,152,2724
153,153,2590
154,154,2688
155,155,2544
156,156,2727
157,157,2665
158,158,2752
159,159,2637
160,160,2726
161,161,2660
162,162,2713
163,163,2696
164,164,2816
165,165,2662
166,166,2627
167,167,2791
168,168,2651
169,169,2724
170,170,2662
171,171,2814
172,172,2764
173,173,2677
174,174,2613
175,175,2653
176,176,2690
177,177,2754
178,178,2797
179,179,2672
180,180,2713
181,181,2728
182,182,2736
183,183,2674
184,184,2706
185,185,2781
186,186,2653
187,187,2559
188,188,2711
189,189,2730
190,190,2658
191,191,2767
192,192,2717
193,193,2689
194,194,2684
195,195,2776
196,196,2741
197,197,2611
198,198,2660
199,199,2795
200,200,2715
201,201,2720
202,202,2777
203,203,2658
204,204,2710
205,205,2741
206,206,2687
207,207,2739
208,208,2671
209,209,2678
210,210,2735
211,211,2749
212,212,2726
213,213,2665
214,214,2744
215,215,2718
216,216,2691
217,217,2536
218,218,2695
219,219,2670
220,220,2720
221,221,2756
222,222,2669
223,223,2590
224,224,2783
225,225,2665
226,226,2645
227,227,2786
228,228,2705
229,229,2693
230,230,2717
231,231,2655
232,232,2685
233,233,2759
234,234,2740
235,235,2688
236,236,2641
237,237,2733
238,238,2753
239,239,2780
240,240,2777
241,241,2735
242,242,2752
243,243,2704
244,244,2723
245,245,2676
246,246,2721
247,247,2602
248,248,2625
249,249,2698
250,250,2735
251,251,2625
252,252,2673
253,253,2720
254,254,2695
255,255,2697
256,256,2635
257,257,2648
258,258,2755
259,259,2802
260,260,2734
261,261,2685
262,262,2709
263,263,2678
264,264,2707
265,265,2745
266,266,2625
267,267,2660
268,268,2669
269,269,2646
270,270,2685
271,271,2687
272,272,2675
273,273,2698
274,274,2852
