,time
0,952.0
1,691.0
2,803.0
3,707.0
4,984.0
5,714.0
6,440.0
7,378.0
8,837.0
9,281.0
10,745.0
11,1397.0
12,1298.0
13,426.0
14,990.0
15,645.0
16,863.0
17,166.0
18,374.0
19,1020.0
20,447.0
21,655.0
22,511.0
23,1459.0
24,806.0
25,605.0
26,541.0
27,326.0
28,1041.0
29,1254.0
30,284.0
31,448.0
32,623.0
33,960.0
34,640.0
35,615.0
36,1435.0
37,1210.0
38,836.0
39,986.0
40,402.0
41,1355.0
42,887.0
43,260.0
44,400.0
45,880.0
46,1042.0
47,1428.0
48,1197.0
49,861.0
50,723.0
51,522.0
52,516.0
53,308.0
54,1009.0
55,555.0
56,689.0
57,193.0
58,792.0
59,595.0
60,964.0
61,1036.0
62,1503.0
63,617.0
64,1489.0
65,1204.0
66,1400.0
67,323.0
68,173.0
69,337.0
70,713.0
71,1110.0
72,717.0
73,372.0
74,155.0
75,479.0
76,1078.0
77,450.0
78,448.0
79,711.0
80,1017.0
81,435.0
82,1609.0
83,1006.0
84,857.0
85,675.0
86,1999.0
87,966.0
88,1598.0
89,571.0
90,1128.0
91,368.0
92,361.0
93,428.0
94,813.0
95,609.0
96,1366.0
97,258.0
98,683.0
99,776.0
100,910.0
101,561.0
102,1623.0
103,434.0
104,999.0
105,519.0
106,653.0
107,543.0
108,1268.0
109,587.0
110,284.0
111,359.0
112,507.0
113,928.0
114,442.0
115,572.0
116,1642.0
117,437.0
118,457.0
119,629.0
120,643.0
121,350.0
122,1034.0
123,1435.0
124,288.0
125,959.0
126,981.0
127,1097.0
128,430.0
129,173.0
130,651.0
131,1575.0
132,954.0
133,474.0
134,344.0
135,755.0
136,996.0
137,591.0
138,815.0
139,1158.0
140,738.0
141,783.0
142,672.0
143,578.0
144,916.0
145,470.0
146,1124.0
147,921.0
148,340.0
149,989.0
150,302.0
151,559.0
152,821.0
153,979.0
154,642.0
155,1102.0
156,1465.0
157,314.0
158,803.0
159,1280.0
160,709.0
161,1322.0
162,690.0
163,459.0
164,372.0
165,172.0
166,998.0
167,191.0
168,589.0
169,679.0
170,469.0
171,1011.0
172,253.0
173,559.0
174,1200.0
175,859.0
176,829.0
177,473.0
178,964.0
179,599.0
180,1173.0
181,1884.0
182,402.0
183,316.0
184,900.0
185,1211.0
186,173.0
187,435.0
188,897.0
189,673.0
190,917.0
191,629.0
192,220.0
193,1999.0
194,1524.0
195,1053.0
196,313.0
197,697.0
198,456.0
199,504.0
200,445.0
201,1280.0
202,377.0
203,1231.0
204,820.0
205,282.0
206,300.0
207,261.0
208,257.0
209,633.0
210,209.0
211,605.0
212,560.0
213,429.0
214,1221.0
215,733.0
216,1116.0
217,614.0
218,1471.0
219,898.0
220,258.0
221,787.0
222,1231.0
223,272.0
224,405.0
225,282.0
226,971.0
227,286.0
228,808.0
229,465.0
230,410.0
231,1172.0
232,330.0
233,909.0
234,450.0
235,634.0
236,406.0
237,552.0
238,426.0
239,314.0
240,986.0
241,858.0
242,520.0
243,1116.0
244,301.0
245,885.0
246,764.0
247,608.0
248,1395.0
249,601.0
250,334.0
251,1233.0
252,632.0
253,647.0
254,300.0
255,441.0
256,745.0
257,1316.0
258,1537.0
259,663.0
260,645.0
261,849.0
262,943.0
263,1406.0
264,1264.0
265,384.0
266,114.0
267,1665.0
268,1169.0
269,349.0
270,342.0
271,610.0
272,1106.0
273,1304.0
274,481.0
275,306.0
276,828.0
277,1091.0
278,886.0
279,1134.0
280,274.0
281,282.0
282,998.0
283,644.0
284,400.0
285,391.0
286,1042.0
287,912.0
288,496.0
289,392.0
290,985.0
291,1165.0
292,582.0
293,760.0
294,834.0
295,1307.0
296,819.0
297,1128.0
298,348.0
299,577.0
300,215.0
301,1364.0
302,1356.0
303,1748.0
304,1167.0
305,709.0
306,770.0
307,421.0
308,268.0
309,1436.0
310,1164.0
311,703.0
312,378.0
313,1681.0
314,699.0
315,626.0
316,215.0
317,417.0
318,1191.0
319,330.0
320,710.0
321,752.0
322,1444.0
323,613.0
324,1287.0
325,1328.0
326,1505.0
327,498.0
328,501.0
329,754.0
330,737.0
331,519.0
332,1336.0
333,316.0
334,1087.0
335,262.0
336,229.0
337,1516.0
338,530.0
339,1025.0
340,260.0
341,312.0
342,344.0
343,299.0
344,1167.0
345,836.0
346,458.0
347,708.0
348,852.0
349,223.0
350,824.0
351,503.0
352,507.0
353,680.0
354,494.0
355,447.0
356,377.0
357,355.0
358,301.0
359,1318.0
360,360.0
361,696.0
362,675.0
363,612.0
364,704.0
365,592.0
366,892.0
367,206.0
368,911.0
369,860.0
370,435.0
371,1013.0
372,873.0
373,638.0
374,288.0
375,1255.0
376,645.0
377,502.0
378,498.0
379,662.0
380,1392.0
381,1051.0
382,1081.0
383,577.0
384,1048.0
385,535.0
386,1999.0
387,823.0
388,456.0
389,354.0
390,842.0
391,892.0
392,1707.0
393,505.0
394,632.0
395,480.0
396,561.0
397,413.0
398,262.0
399,165.0
400,507.0
401,233.0
402,411.0
403,475.0
404,149.0
405,1417.0
406,491.0
407,344.0
408,338.0
409,614.0
410,1210.0
411,211.0
412,825.0
413,253.0
414,872.0
415,470.0
416,612.0
417,744.0
418,1281.0
419,540.0
420,920.0
421,296.0
422,840.0
423,330.0
424,198.0
425,1023.0
426,1259.0
427,1054.0
428,576.0
429,1063.0
430,685.0
431,779.0
432,1012.0
433,250.0
434,1125.0
435,433.0
436,1432.0
437,1999.0
438,1381.0
439,787.0
440,633.0
441,519.0
442,978.0
443,368.0
444,918.0
445,978.0
446,331.0
447,304.0
448,975.0
449,208.0
450,453.0
451,861.0
452,748.0
453,662.0
454,1278.0
455,571.0
456,1397.0
457,623.0
458,952.0
459,232.0
460,588.0
461,640.0
462,763.0
463,1593.0
464,413.0
465,556.0
466,583.0
467,384.0
468,555.0
469,1000.0
470,412.0
471,488.0
472,609.0
473,737.0
474,399.0
475,970.0
476,1122.0
477,1006.0
478,610.0
479,1395.0
480,821.0
481,1141.0
482,547.0
483,1098.0
484,445.0
485,661.0
486,851.0
487,727.0
488,1227.0
489,819.0
490,1215.0
491,508.0
492,465.0
493,1294.0
494,1325.0
495,1223.0
496,615.0
497,779.0
498,767.0
499,1999.0
500,1293.0
501,438.0
502,917.0
503,816.0
504,364.0
505,1405.0
506,1062.0
507,430.0
508,966.0
509,183.0
510,1191.0
511,773.0
512,664.0
513,424.0
514,600.0
515,536.0
516,559.0
517,464.0
518,178.0
519,1319.0
520,155.0
521,1999.0
522,1087.0
523,1020.0
524,219.0
525,1198.0
526,611.0
527,1580.0
528,1163.0
529,1040.0
530,635.0
531,472.0
532,911.0
533,544.0
534,1201.0
535,216.0
536,447.0
537,708.0
538,660.0
539,185.0
540,260.0
541,1321.0
542,593.0
543,1246.0
544,457.0
545,610.0
546,601.0
547,352.0
548,908.0
549,927.0
550,1293.0
551,349.0
552,1348.0
553,280.0
554,889.0
555,845.0
556,326.0
557,712.0
558,834.0
559,690.0
560,485.0
561,1420.0
562,475.0
563,1126.0
564,382.0
565,904.0
566,515.0
567,402.0
568,471.0
569,928.0
570,285.0
571,807.0
572,941.0
573,334.0
574,1381.0
575,523.0
576,993.0
577,1396.0
578,660.0
579,1187.0
580,1320.0
581,370.0
582,1022.0
583,752.0
584,775.0
585,953.0
586,810.0
587,1072.0
588,1307.0
589,458.0
590,814.0
591,743.0
592,595.0
593,713.0
594,630.0
595,1999.0
596,431.0
597,1121.0
598,668.0
599,343.0
600,280.0
601,283.0
602,1084.0
603,508.0
604,1603.0
605,844.0
606,1210.0
607,569.0
608,795.0
609,311.0
610,1010.0
611,626.0
612,327.0
613,440.0
614,1275.0
615,560.0
616,364.0
617,431.0
618,394.0
619,169.0
620,281.0
621,1458.0
622,1434.0
623,388.0
624,642.0
625,387.0
626,645.0
627,192.0
628,514.0
629,666.0
630,1279.0
631,926.0
632,489.0
633,770.0
634,608.0
635,1026.0
636,740.0
637,509.0
638,929.0
639,1078.0
640,1037.0
641,1067.0
642,1271.0
643,238.0
644,592.0
645,693.0
646,455.0
647,1627.0
648,1333.0
649,1235.0
650,223.0
651,1091.0
652,266.0
653,351.0
654,1150.0
655,261.0
656,1305.0
657,775.0
658,1069.0
659,212.0
660,1151.0
661,1106.0
662,462.0
663,1245.0
664,1314.0
665,282.0
666,611.0
667,374.0
668,650.0
669,453.0
670,979.0
671,288.0
672,890.0
673,1403.0
674,455.0
675,439.0
676,803.0
677,665.0
678,1445.0
679,1341.0
680,287.0
681,685.0
682,330.0
683,404.0
684,1098.0
685,346.0
686,418.0
687,321.0
688,534.0
689,760.0
690,685.0
691,682.0
692,1211.0
693,394.0
694,602.0
695,527.0
696,498.0
697,548.0
698,1023.0
699,1099.0
700,1999.0
701,339.0
702,329.0
703,1034.0
704,677.0
705,257.0
706,115.0
707,231.0
708,967.0
709,877.0
710,493.0
711,1404.0
712,775.0
713,470.0
714,1365.0
715,111.0
716,1208.0
717,1101.0
718,799.0
719,146.0
720,690.0
721,312.0
722,343.0
723,879.0
724,887.0
725,653.0
726,233.0
727,557.0
728,428.0
729,1090.0
730,798.0
731,1057.0
732,494.0
733,685.0
734,428.0
735,528.0
736,339.0
737,811.0
738,434.0
739,401.0
740,472.0
741,1053.0
742,638.0
743,980.0
744,1999.0
745,423.0
746,1024.0
747,549.0
748,1351.0
749,339.0
750,424.0
751,217.0
752,377.0
753,1031.0
754,1556.0
755,278.0
756,1285.0
757,101.0
758,691.0
759,681.0
760,816.0
761,1023.0
762,1403.0
763,443.0
764,1342.0
765,1026.0
766,798.0
767,508.0
768,826.0
769,1074.0
770,1506.0
771,571.0
772,779.0
773,579.0
774,588.0
775,1328.0
776,844.0
777,947.0
778,558.0
779,752.0
780,769.0
781,579.0
782,402.0
783,899.0
784,284.0
785,298.0
786,1313.0
787,882.0
788,1461.0
789,408.0
790,828.0
791,1546.0
792,561.0
793,415.0
794,1160.0
795,774.0
796,933.0
797,461.0
798,476.0
799,502.0
800,1412.0
801,1313.0
802,686.0
803,1312.0
804,601.0
805,378.0
806,794.0
807,742.0
808,230.0
809,679.0
810,319.0
811,1241.0
812,348.0
813,514.0
814,1202.0
815,284.0
816,514.0
817,1164.0
818,1167.0
819,183.0
820,838.0
821,943.0
822,576.0
823,709.0
824,340.0
825,458.0
826,465.0
827,215.0
828,260.0
829,371.0
830,674.0
831,463.0
832,671.0
833,1103.0
834,1370.0
835,524.0
836,772.0
837,1381.0
838,1999.0
839,1335.0
840,617.0
841,368.0
842,811.0
843,1999.0
844,903.0
845,873.0
846,528.0
847,550.0
848,904.0
849,898.0
850,927.0
851,177.0
852,772.0
853,793.0
854,350.0
855,163.0
856,807.0
857,1246.0
858,952.0
859,517.0
860,482.0
861,635.0
862,1009.0
863,214.0
864,386.0
865,1146.0
866,875.0
867,420.0
868,519.0
869,498.0
870,934.0
871,658.0
872,797.0
873,455.0
874,950.0
875,1015.0
876,680.0
877,236.0
878,350.0
879,474.0
880,616.0
881,856.0
882,761.0
883,1261.0
884,399.0
885,698.0
886,1018.0
887,403.0
888,801.0
889,614.0
890,592.0
891,1189.0
892,1330.0
893,373.0
894,961.0
895,275.0
896,407.0
897,1195.0
898,190.0
899,1130.0
900,1170.0
901,1999.0
902,609.0
903,859.0
904,1019.0
905,672.0
906,1568.0
907,801.0
908,575.0
909,178.0
910,427.0
911,1116.0
912,1260.0
913,440.0
914,247.0
915,1013.0
916,729.0
917,408.0
918,271.0
919,400.0
920,1244.0
921,208.0
922,1084.0
923,1115.0
924,355.0
925,884.0
926,965.0
927,456.0
928,653.0
929,470.0
930,328.0
931,417.0
932,1314.0
933,918.0
934,279.0
935,1295.0
936,857.0
937,624.0
938,578.0
939,212.0
940,900.0
941,528.0
942,1012.0
943,1024.0
944,404.0
945,524.0
946,1026.0
947,918.0
948,798.0
949,1260.0
950,1362.0
951,854.0
952,526.0
953,422.0
954,397.0
955,895.0
956,1183.0
957,451.0
958,921.0
959,1311.0
960,500.0
961,496.0
962,1999.0
963,631.0
964,205.0
965,798.0
966,422.0
967,878.0
968,1014.0
969,534.0
970,1137.0
971,370.0
972,1999.0
973,601.0
974,1395.0
975,859.0
976,287.0
977,814.0
978,1141.0
979,1272.0
980,1013.0
981,950.0
982,379.0
983,500.0
984,1387.0
985,1242.0
986,375.0
987,320.0
988,799.0
989,263.0
990,655.0
991,1279.0
992,767.0
993,908.0
994,726.0
995,266.0
996,1374.0
997,219.0
998,502.0
999,1113.0
